
PSRJ	DM	dDM/dt
 	pc/cm3	pc/cm3/yr
-----------	---------	---------
J1932+2020 	 211.1510	 -0.00800
J1932+2220 	 219.2000	  1.30000
J1933+2421 	 106.0300	 -7.00000
J1935+1616 	 158.5210	  0.00230
J1937+2544 	  53.2210	  0.00240
J1939+2134 	  71.0375	 -0.00040
J1939+2449 	 142.8800	  0.03000
J1941-2602 	  50.0360	  0.00050
J1943-1237 	  28.9180	 -0.00400
J1944-1750 	  56.3200	  0.00000
J1945-0040 	  59.7100	 -0.00600
J1946+1805 	  16.2200	  0.00300
J1946-2913 	  44.3090	 -0.00600
J1948+3540 	 129.0750	  0.00300
J1949-2524 	  23.0700	 -0.00300
J1952+1410 	  31.4600	  0.02000
J1952+3252 	  45.0060	  1.10000
J1954+2923 	   7.9320	 -0.00400
J1955+2908 	 104.5730	  0.00070
J1955+5059 	  31.9740	  0.00040
J1957+2831 	 138.9900	 -0.03000
J2002+3217 	 142.2100	 -1.30000
J2002+4050 	 131.3340	  0.00100
J2004+3137 	 234.8200	  0.00200
J2005-0020 	  35.9300	 -0.00800
J2006-0807 	  32.3900	  0.00700
J2013+3845 	 238.2170	 -0.01000
J2018+2839 	  14.1720	 -0.00150
J2019+2425 	  17.2050	  0.00100
J2022+2854 	  24.6400	  6.00000
J2022+5154 	  22.6480	 -0.00230
J2023+5037 	  33.0210	 -0.00500
J2029+3744 	 190.6600	  0.00100
J2030+2228 	  71.8300	 -0.00060
J2037+3621 	  93.5600	  0.06200
J2038+5319 	 160.1000	 -0.02000
J2046+1540 	  39.8440	  0.00400
J2046+5708 	 101.8100	  0.00200
J2046-0421 	  35.7990	  0.00200
J2048-1616 	  11.4560	  0.00250
J2051-0827 	  20.7500	  1.70000
J2055+2209 	  36.3610	  0.00300
J2055+3630 	  97.3140	 -0.00150
J2108+4441 	 139.8270	  0.00200
J2113+2754 	  25.1130	 -0.00040
J2113+4644 	 141.2600	  0.00900
J2116+1414 	  56.1490	 -0.00100
J2124+1407 	  30.1200	 -0.01800
J2124-3358 	   4.5660	  0.00210
J2145-0750 	   9.0025	 -0.00010
J2149+6329 	 129.6920	  0.00170
J2150+5247 	 148.9300	 -0.00120
J2155-3118 	  14.8500	 -0.00600
J2157+4017 	  70.8570	  0.00100
J2212+2933 	  74.5000	  0.00100
J2219+4754 	  43.5190	 -0.00090
J2222+29   	  49.3800	 -0.00800
J2225+6535 	  36.0790	  0.00080
J2229+2643 	  22.7290	  0.00110
J2229+6205 	 124.6140	 -0.00900
J2242+6950 	  40.7400	  0.02000
J2248-0101 	  29.0500	 -0.00200
J2257+5909 	 151.0820	  0.00300
J2305+3100 	  49.5440	 -0.00200
J2305+4707 	  61.8700	 -0.00900
J2308+5547 	  46.5380	 -0.00010
J2313+4253 	  17.2758	 -0.00004
J2317+1439 	  21.9050	 -7.00000
J2317+2149 	  20.9060	  0.00270
J2321+6024 	  94.5910	 -0.00100
J2322+2057 	  13.3950	  0.00400
J2325+6316 	 197.3700	  0.00900
J2326+6113 	 122.6130	 -0.02500
J2330-2005 	   8.4580	  0.00300
J2337+6151 	  58.4100	 -0.00040
J2346-0609 	  22.5040	 -0.00070
J2354+6155 	  94.6620	  0.00530

